id	tier	slot	biome	masteryGate	bossGate	predecessor	authoredStats	upgradeReadbacks
mountain-boots-t1	1	mobility	mountain	4			{"speed":16}	[{"plus":0,"authoredStats":{"speed":16},"upgradeStats":{},"mechanics":{"mobility.approach-speed-pct":0.35},"aps":0},{"plus":3,"authoredStats":{"speed":16},"upgradeStats":{"speed":3},"mechanics":{"mobility.approach-speed-pct":0.5},"aps":0},{"plus":4,"authoredStats":{"speed":16},"upgradeStats":{"speed":4},"mechanics":{"mobility.approach-speed-pct":0.55},"aps":0},{"plus":5,"authoredStats":{"speed":16},"upgradeStats":{"speed":5},"mechanics":{"mobility.approach-speed-pct":0.6},"aps":0}]
quake-hammer	2	weapon	mountain	7		heavy-hammer	{"attack":47}	[{"plus":0,"authoredStats":{"attack":47},"upgradeStats":{},"mechanics":{"weapon.empowered-mult-bonus":0.26,"technique.cast-speed-pct":0.15},"aps":0.55},{"plus":3,"authoredStats":{"attack":47},"upgradeStats":{"attack":13},"mechanics":{"weapon.empowered-mult-bonus":0.3,"technique.cast-speed-pct":0.15},"aps":0.55},{"plus":4,"authoredStats":{"attack":47},"upgradeStats":{"attack":18},"mechanics":{"weapon.empowered-mult-bonus":0.32,"technique.cast-speed-pct":0.15},"aps":0.55},{"plus":5,"authoredStats":{"attack":47},"upgradeStats":{"attack":23},"mechanics":{"weapon.empowered-mult-bonus":0.33,"technique.cast-speed-pct":0.15},"aps":0.55}]
mountain-vest-t2	2	armor	mountain	8		mountain-vest-t1	{"maxHp":58,"plating":9}	[{"plus":0,"authoredStats":{"maxHp":58,"plating":9},"upgradeStats":{},"mechanics":{"guard.potency-pct":0.28},"aps":0},{"plus":3,"authoredStats":{"maxHp":58,"plating":9},"upgradeStats":{"maxHp":17,"plating":3},"mechanics":{"guard.potency-pct":0.34},"aps":0},{"plus":4,"authoredStats":{"maxHp":58,"plating":9},"upgradeStats":{"maxHp":22,"plating":4},"mechanics":{"guard.potency-pct":0.36000000000000004},"aps":0},{"plus":5,"authoredStats":{"maxHp":58,"plating":9},"upgradeStats":{"maxHp":28,"plating":5},"mechanics":{"guard.potency-pct":0.38},"aps":0}]
mountain-charm-t2	2	recovery	mountain	9		mountain-charm-t1	{"recovery":2}	[{"plus":0,"authoredStats":{"recovery":2},"upgradeStats":{},"mechanics":{"defense.barrier-pct":0.2},"aps":0},{"plus":3,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":1},"mechanics":{"defense.barrier-pct":0.23},"aps":0},{"plus":4,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":1},"mechanics":{"defense.barrier-pct":0.245},"aps":0},{"plus":5,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":1},"mechanics":{"defense.barrier-pct":0.26},"aps":0}]
mountain-boots-t2	2	mobility	mountain	10		mountain-boots-t1	{"speed":29}	[{"plus":0,"authoredStats":{"speed":29},"upgradeStats":{},"mechanics":{"mobility.approach-speed-pct":0.65},"aps":0},{"plus":3,"authoredStats":{"speed":29},"upgradeStats":{"speed":5},"mechanics":{"mobility.approach-speed-pct":0.8},"aps":0},{"plus":4,"authoredStats":{"speed":29},"upgradeStats":{"speed":6},"mechanics":{"mobility.approach-speed-pct":0.8500000000000001},"aps":0},{"plus":5,"authoredStats":{"speed":29},"upgradeStats":{"speed":8},"mechanics":{"mobility.approach-speed-pct":0.9},"aps":0}]
mountain-avalanche-maul	3	weapon	mountain	13		quake-hammer	{"attack":84}	[{"plus":0,"authoredStats":{"attack":84},"upgradeStats":{},"mechanics":{"weapon.empowered-mult-bonus":0.37},"aps":0.55},{"plus":3,"authoredStats":{"attack":84},"upgradeStats":{"attack":25},"mechanics":{"weapon.empowered-mult-bonus":0.41},"aps":0.55},{"plus":4,"authoredStats":{"attack":84},"upgradeStats":{"attack":34},"mechanics":{"weapon.empowered-mult-bonus":0.43},"aps":0.55},{"plus":5,"authoredStats":{"attack":84},"upgradeStats":{"attack":42},"mechanics":{"weapon.empowered-mult-bonus":0.44},"aps":0.55}]
mountain-vest-t3	3	armor	mountain	14		mountain-vest-t2	{"maxHp":104,"plating":16}	[{"plus":0,"authoredStats":{"maxHp":104,"plating":16},"upgradeStats":{},"mechanics":{"guard.potency-pct":0.41,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5},"aps":0},{"plus":3,"authoredStats":{"maxHp":104,"plating":16},"upgradeStats":{"maxHp":32,"plating":5},"mechanics":{"guard.potency-pct":0.47,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5},"aps":0},{"plus":4,"authoredStats":{"maxHp":104,"plating":16},"upgradeStats":{"maxHp":42,"plating":6},"mechanics":{"guard.potency-pct":0.49,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5},"aps":0},{"plus":5,"authoredStats":{"maxHp":104,"plating":16},"upgradeStats":{"maxHp":52,"plating":8},"mechanics":{"guard.potency-pct":0.51,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5},"aps":0}]
mountain-charm-t3	3	recovery	mountain	15		mountain-charm-t2	{"recovery":3}	[{"plus":0,"authoredStats":{"recovery":3},"upgradeStats":{},"mechanics":{"defense.barrier-pct":0.28},"aps":0},{"plus":3,"authoredStats":{"recovery":3},"upgradeStats":{"recovery":1},"mechanics":{"defense.barrier-pct":0.31500000000000006},"aps":0},{"plus":4,"authoredStats":{"recovery":3},"upgradeStats":{"recovery":2},"mechanics":{"defense.barrier-pct":0.325},"aps":0},{"plus":5,"authoredStats":{"recovery":3},"upgradeStats":{"recovery":2},"mechanics":{"defense.barrier-pct":0.34},"aps":0}]
mountain-boots-t3	3	mobility	mountain	16		mountain-boots-t2	{"speed":52}	[{"plus":0,"authoredStats":{"speed":52},"upgradeStats":{},"mechanics":{"mobility.approach-speed-pct":0.95},"aps":0},{"plus":3,"authoredStats":{"speed":52},"upgradeStats":{"speed":9},"mechanics":{"mobility.approach-speed-pct":1.1},"aps":0},{"plus":4,"authoredStats":{"speed":52},"upgradeStats":{"speed":11},"mechanics":{"mobility.approach-speed-pct":1.15},"aps":0},{"plus":5,"authoredStats":{"speed":52},"upgradeStats":{"speed":14},"mechanics":{"mobility.approach-speed-pct":1.2},"aps":0}]
mountain-earthsunder-maul	4	weapon	mountain	19		mountain-avalanche-maul	{"attack":152}	[{"plus":0,"authoredStats":{"attack":152},"upgradeStats":{},"mechanics":{},"aps":0.4},{"plus":3,"authoredStats":{"attack":152},"upgradeStats":{"attack":45},"mechanics":{},"aps":0.4},{"plus":4,"authoredStats":{"attack":152},"upgradeStats":{"attack":60},"mechanics":{},"aps":0.4},{"plus":5,"authoredStats":{"attack":152},"upgradeStats":{"attack":76},"mechanics":{},"aps":0.4}]
mountain-warmaul	4	weapon	mountain	19		mountain-avalanche-maul	{"attack":98}	[{"plus":0,"authoredStats":{"attack":98},"upgradeStats":{},"mechanics":{"weapon.empowered-mult-bonus":0.48},"aps":0.55},{"plus":3,"authoredStats":{"attack":98},"upgradeStats":{"attack":30},"mechanics":{"weapon.empowered-mult-bonus":0.52},"aps":0.55},{"plus":4,"authoredStats":{"attack":98},"upgradeStats":{"attack":39},"mechanics":{"weapon.empowered-mult-bonus":0.54},"aps":0.55},{"plus":5,"authoredStats":{"attack":98},"upgradeStats":{"attack":49},"mechanics":{"weapon.empowered-mult-bonus":0.5499999999999999},"aps":0.55}]
mountain-vest-t4	4	armor	mountain	20		mountain-vest-t3	{"maxHp":187,"plating":29}	[{"plus":0,"authoredStats":{"maxHp":187,"plating":29},"upgradeStats":{},"mechanics":{"guard.potency-pct":0.54,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5,"defense.max-hit-refills-barrier":1},"aps":0},{"plus":3,"authoredStats":{"maxHp":187,"plating":29},"upgradeStats":{"maxHp":56,"plating":9},"mechanics":{"guard.potency-pct":0.6000000000000001,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5,"defense.max-hit-refills-barrier":1},"aps":0},{"plus":4,"authoredStats":{"maxHp":187,"plating":29},"upgradeStats":{"maxHp":74,"plating":12},"mechanics":{"guard.potency-pct":0.62,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5,"defense.max-hit-refills-barrier":1},"aps":0},{"plus":5,"authoredStats":{"maxHp":187,"plating":29},"upgradeStats":{"maxHp":93,"plating":15},"mechanics":{"guard.potency-pct":0.64,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5,"defense.max-hit-refills-barrier":1},"aps":0}]
mountain-vest-t4-stormwall	4	armor	mountain	20		mountain-vest-t3	{"maxHp":187,"plating":22}	[{"plus":0,"authoredStats":{"maxHp":187,"plating":22},"upgradeStats":{},"mechanics":{"guard.potency-pct":0.54,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5,"defense.barrier-break-hp-recovery-pct":0.3},"aps":0},{"plus":3,"authoredStats":{"maxHp":187,"plating":22},"upgradeStats":{"maxHp":56,"plating":6},"mechanics":{"guard.potency-pct":0.6000000000000001,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5,"defense.barrier-break-hp-recovery-pct":0.3},"aps":0},{"plus":4,"authoredStats":{"maxHp":187,"plating":22},"upgradeStats":{"maxHp":74,"plating":8},"mechanics":{"guard.potency-pct":0.62,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5,"defense.barrier-break-hp-recovery-pct":0.3},"aps":0},{"plus":5,"authoredStats":{"maxHp":187,"plating":22},"upgradeStats":{"maxHp":93,"plating":11},"mechanics":{"guard.potency-pct":0.64,"defense.max-hit-pct":0.25,"defense.max-hit-mult":0.5,"defense.barrier-break-hp-recovery-pct":0.3},"aps":0}]
mountain-charm-t4	4	recovery	mountain	21		mountain-charm-t3	{"recovery":6}	[{"plus":0,"authoredStats":{"recovery":6},"upgradeStats":{},"mechanics":{"defense.barrier-pct":0.36},"aps":0},{"plus":3,"authoredStats":{"recovery":6},"upgradeStats":{"recovery":2},"mechanics":{"defense.barrier-pct":0.39},"aps":0},{"plus":4,"authoredStats":{"recovery":6},"upgradeStats":{"recovery":2.5},"mechanics":{"defense.barrier-pct":0.40499999999999997},"aps":0},{"plus":5,"authoredStats":{"recovery":6},"upgradeStats":{"recovery":3},"mechanics":{"defense.barrier-pct":0.42},"aps":0}]
mountain-charm-t4-shieldmend	4	recovery	mountain	21		mountain-charm-t3	{"recovery":6}	[{"plus":0,"authoredStats":{"recovery":6},"upgradeStats":{},"mechanics":{"defense.barrier-pct":0.32,"defense.barrier-break-heal-pct":0.25},"aps":0},{"plus":3,"authoredStats":{"recovery":6},"upgradeStats":{"recovery":2},"mechanics":{"defense.barrier-pct":0.35,"defense.barrier-break-heal-pct":0.25},"aps":0},{"plus":4,"authoredStats":{"recovery":6},"upgradeStats":{"recovery":2.5},"mechanics":{"defense.barrier-pct":0.36,"defense.barrier-break-heal-pct":0.25},"aps":0},{"plus":5,"authoredStats":{"recovery":6},"upgradeStats":{"recovery":3},"mechanics":{"defense.barrier-pct":0.37,"defense.barrier-break-heal-pct":0.25},"aps":0}]
mountain-boots-t4	4	mobility	mountain	22		mountain-boots-t3	{"speed":93}	[{"plus":0,"authoredStats":{"speed":93},"upgradeStats":{},"mechanics":{"mobility.approach-speed-pct":1.25},"aps":0},{"plus":3,"authoredStats":{"speed":93},"upgradeStats":{"speed":15},"mechanics":{"mobility.approach-speed-pct":1.4},"aps":0},{"plus":4,"authoredStats":{"speed":93},"upgradeStats":{"speed":21},"mechanics":{"mobility.approach-speed-pct":1.45},"aps":0},{"plus":5,"authoredStats":{"speed":93},"upgradeStats":{"speed":26},"mechanics":{"mobility.approach-speed-pct":1.5},"aps":0}]
core-juggernaut	4	core	mountain	22			{}	[{"plus":0,"authoredStats":{},"upgradeStats":{},"mechanics":{"core.maxhp-mult":0.3,"core.plating-mult":0.4,"core.damage-taken-pct":-0.14,"core.attack-speed-mult":-0.25,"core.speed-mult":-0.1},"aps":0}]
core-arcanist	3	core	mountain	18			{}	[{"plus":0,"authoredStats":{},"upgradeStats":{},"mechanics":{"technique.cooldown-reduction-pct":0.2,"technique.power-pct":0.2},"aps":0}]
relic-colossus-heart	4	relic	mountain	24			{}	[{"plus":0,"authoredStats":{},"upgradeStats":{},"mechanics":{"relic.mechanic-frequency":-0.3,"relic.mechanic-potency":0.4},"aps":0}]
relic-equilibrium-shard	4	relic	mountain	24			{}	[{"plus":0,"authoredStats":{},"upgradeStats":{},"mechanics":{"relic.mechanic-frequency":0.1,"relic.mechanic-potency":0.1},"aps":0}]
iron-broadsword	1	weapon	plains	1			{"attack":10}	[{"plus":0,"authoredStats":{"attack":10},"upgradeStats":{},"mechanics":{"technique.cooldown-reduction-pct":0.06},"aps":0.8},{"plus":3,"authoredStats":{"attack":10},"upgradeStats":{"attack":3},"mechanics":{"technique.cooldown-reduction-pct":0.09},"aps":0.8},{"plus":4,"authoredStats":{"attack":10},"upgradeStats":{"attack":4},"mechanics":{"technique.cooldown-reduction-pct":0.1},"aps":0.8},{"plus":5,"authoredStats":{"attack":10},"upgradeStats":{"attack":5},"mechanics":{"technique.cooldown-reduction-pct":0.11},"aps":0.8}]
plains-vest-t1	1	armor	plains	2			{"maxHp":24,"plating":7}	[{"plus":0,"authoredStats":{"maxHp":24,"plating":7},"upgradeStats":{},"mechanics":{},"aps":0},{"plus":3,"authoredStats":{"maxHp":24,"plating":7},"upgradeStats":{"maxHp":9,"plating":3},"mechanics":{},"aps":0},{"plus":4,"authoredStats":{"maxHp":24,"plating":7},"upgradeStats":{"maxHp":12,"plating":4},"mechanics":{},"aps":0},{"plus":5,"authoredStats":{"maxHp":24,"plating":7},"upgradeStats":{"maxHp":15,"plating":5},"mechanics":{},"aps":0}]
plains-charm-t1	1	recovery	plains	3			{"recovery":1}	[{"plus":0,"authoredStats":{"recovery":1},"upgradeStats":{},"mechanics":{"defense.recovery-on-kill-pct":0.2,"defense.recovery-on-kill-ms":4000},"aps":0},{"plus":3,"authoredStats":{"recovery":1},"upgradeStats":{"recovery":0.5},"mechanics":{"defense.recovery-on-kill-pct":0.26,"defense.recovery-on-kill-ms":4000},"aps":0},{"plus":4,"authoredStats":{"recovery":1},"upgradeStats":{"recovery":1},"mechanics":{"defense.recovery-on-kill-pct":0.28,"defense.recovery-on-kill-ms":4000},"aps":0},{"plus":5,"authoredStats":{"recovery":1},"upgradeStats":{"recovery":1},"mechanics":{"defense.recovery-on-kill-pct":0.30000000000000004,"defense.recovery-on-kill-ms":4000},"aps":0}]
plains-boots-t1	1	mobility	plains	4			{"speed":18}	[{"plus":0,"authoredStats":{"speed":18},"upgradeStats":{},"mechanics":{"mobility.kill-speed-pct":0.25,"mobility.kill-speed-ms":3000},"aps":0},{"plus":3,"authoredStats":{"speed":18},"upgradeStats":{"speed":3},"mechanics":{"mobility.kill-speed-pct":0.33999999999999997,"mobility.kill-speed-ms":3000},"aps":0},{"plus":4,"authoredStats":{"speed":18},"upgradeStats":{"speed":4},"mechanics":{"mobility.kill-speed-pct":0.37,"mobility.kill-speed-ms":3000},"aps":0},{"plus":5,"authoredStats":{"speed":18},"upgradeStats":{"speed":5},"mechanics":{"mobility.kill-speed-pct":0.4,"mobility.kill-speed-ms":3000},"aps":0}]
knight-steelsword	2	weapon	plains	7		iron-broadsword	{"attack":18}	[{"plus":0,"authoredStats":{"attack":18},"upgradeStats":{},"mechanics":{"technique.cooldown-reduction-pct":0.12},"aps":1},{"plus":3,"authoredStats":{"attack":18},"upgradeStats":{"attack":6},"mechanics":{"technique.cooldown-reduction-pct":0.15},"aps":1},{"plus":4,"authoredStats":{"attack":18},"upgradeStats":{"attack":8},"mechanics":{"technique.cooldown-reduction-pct":0.16},"aps":1},{"plus":5,"authoredStats":{"attack":18},"upgradeStats":{"attack":9},"mechanics":{"technique.cooldown-reduction-pct":0.16999999999999998},"aps":1}]
plains-vest-t2	2	armor	plains	8		plains-vest-t1	{"maxHp":43,"plating":13}	[{"plus":0,"authoredStats":{"maxHp":43,"plating":13},"upgradeStats":{},"mechanics":{},"aps":0},{"plus":3,"authoredStats":{"maxHp":43,"plating":13},"upgradeStats":{"maxHp":13,"plating":3},"mechanics":{},"aps":0},{"plus":4,"authoredStats":{"maxHp":43,"plating":13},"upgradeStats":{"maxHp":17,"plating":5},"mechanics":{},"aps":0},{"plus":5,"authoredStats":{"maxHp":43,"plating":13},"upgradeStats":{"maxHp":22,"plating":6},"mechanics":{},"aps":0}]
plains-charm-t2	2	recovery	plains	9		plains-charm-t1	{"recovery":2}	[{"plus":0,"authoredStats":{"recovery":2},"upgradeStats":{},"mechanics":{"defense.recovery-on-kill-pct":0.32,"defense.recovery-on-kill-ms":4000},"aps":0},{"plus":3,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":0.5},"mechanics":{"defense.recovery-on-kill-pct":0.38,"defense.recovery-on-kill-ms":4000},"aps":0},{"plus":4,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":1},"mechanics":{"defense.recovery-on-kill-pct":0.4,"defense.recovery-on-kill-ms":4000},"aps":0},{"plus":5,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":1},"mechanics":{"defense.recovery-on-kill-pct":0.42000000000000004,"defense.recovery-on-kill-ms":4000},"aps":0}]
plains-boots-t2	2	mobility	plains	10		plains-boots-t1	{"speed":32}	[{"plus":0,"authoredStats":{"speed":32},"upgradeStats":{},"mechanics":{"mobility.kill-speed-pct":0.45,"mobility.kill-speed-ms":3000},"aps":0},{"plus":3,"authoredStats":{"speed":32},"upgradeStats":{"speed":6},"mechanics":{"mobility.kill-speed-pct":0.54,"mobility.kill-speed-ms":3000},"aps":0},{"plus":4,"authoredStats":{"speed":32},"upgradeStats":{"speed":7},"mechanics":{"mobility.kill-speed-pct":0.5700000000000001,"mobility.kill-speed-ms":3000},"aps":0},{"plus":5,"authoredStats":{"speed":32},"upgradeStats":{"speed":9},"mechanics":{"mobility.kill-speed-pct":0.6,"mobility.kill-speed-ms":3000},"aps":0}]
ashbrand-blade	1	weapon	swamp	1			{"attack":10}	[{"plus":0,"authoredStats":{"attack":10},"upgradeStats":{},"mechanics":{},"aps":0.9},{"plus":3,"authoredStats":{"attack":10},"upgradeStats":{"attack":3},"mechanics":{},"aps":0.9},{"plus":4,"authoredStats":{"attack":10},"upgradeStats":{"attack":4},"mechanics":{},"aps":0.9},{"plus":5,"authoredStats":{"attack":10},"upgradeStats":{"attack":5},"mechanics":{},"aps":0.9}]
swamp-vest-t1	1	armor	swamp	2			{"maxHp":30,"plating":4}	[{"plus":0,"authoredStats":{"maxHp":30,"plating":4},"upgradeStats":{},"mechanics":{"defense.dot-resistance":0.2},"aps":0},{"plus":3,"authoredStats":{"maxHp":30,"plating":4},"upgradeStats":{"maxHp":12,"plating":1},"mechanics":{"defense.dot-resistance":0.26},"aps":0},{"plus":4,"authoredStats":{"maxHp":30,"plating":4},"upgradeStats":{"maxHp":16,"plating":2},"mechanics":{"defense.dot-resistance":0.28},"aps":0},{"plus":5,"authoredStats":{"maxHp":30,"plating":4},"upgradeStats":{"maxHp":20,"plating":2},"mechanics":{"defense.dot-resistance":0.30000000000000004},"aps":0}]
swamp-charm-t1	1	recovery	swamp	3			{"recovery":2}	[{"plus":0,"authoredStats":{"recovery":2},"upgradeStats":{},"mechanics":{"defense.recovery-pulse-pct":0.2,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0},{"plus":3,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":1},"mechanics":{"defense.recovery-pulse-pct":0.26,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0},{"plus":4,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":1},"mechanics":{"defense.recovery-pulse-pct":0.28,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0},{"plus":5,"authoredStats":{"recovery":2},"upgradeStats":{"recovery":1},"mechanics":{"defense.recovery-pulse-pct":0.30000000000000004,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0}]
swamp-boots-t1	1	mobility	swamp	4			{"speed":18}	[{"plus":0,"authoredStats":{"speed":18},"upgradeStats":{},"mechanics":{"mobility.slow-resistance":0.25},"aps":0},{"plus":3,"authoredStats":{"speed":18},"upgradeStats":{"speed":3},"mechanics":{"mobility.slow-resistance":0.33999999999999997},"aps":0},{"plus":4,"authoredStats":{"speed":18},"upgradeStats":{"speed":4},"mechanics":{"mobility.slow-resistance":0.37},"aps":0},{"plus":5,"authoredStats":{"speed":18},"upgradeStats":{"speed":5},"mechanics":{"mobility.slow-resistance":0.4},"aps":0}]
swamp-mirebrand	2	weapon	swamp	7		ashbrand-blade	{"attack":18}	[{"plus":0,"authoredStats":{"attack":18},"upgradeStats":{},"mechanics":{},"aps":1},{"plus":3,"authoredStats":{"attack":18},"upgradeStats":{"attack":6},"mechanics":{},"aps":1},{"plus":4,"authoredStats":{"attack":18},"upgradeStats":{"attack":8},"mechanics":{},"aps":1},{"plus":5,"authoredStats":{"attack":18},"upgradeStats":{"attack":9},"mechanics":{},"aps":1}]
swamp-vest-t2	2	armor	swamp	8		swamp-vest-t1	{"maxHp":54,"plating":7}	[{"plus":0,"authoredStats":{"maxHp":54,"plating":7},"upgradeStats":{},"mechanics":{"defense.dot-resistance":0.34,"defense.hit-to-dot-pct":0.08},"aps":0},{"plus":3,"authoredStats":{"maxHp":54,"plating":7},"upgradeStats":{"maxHp":16,"plating":2},"mechanics":{"defense.dot-resistance":0.39,"defense.hit-to-dot-pct":0.08},"aps":0},{"plus":4,"authoredStats":{"maxHp":54,"plating":7},"upgradeStats":{"maxHp":21,"plating":3},"mechanics":{"defense.dot-resistance":0.41000000000000003,"defense.hit-to-dot-pct":0.08},"aps":0},{"plus":5,"authoredStats":{"maxHp":54,"plating":7},"upgradeStats":{"maxHp":27,"plating":4},"mechanics":{"defense.dot-resistance":0.42000000000000004,"defense.hit-to-dot-pct":0.08},"aps":0}]
swamp-charm-t2	2	recovery	swamp	9		swamp-charm-t1	{"recovery":4}	[{"plus":0,"authoredStats":{"recovery":4},"upgradeStats":{},"mechanics":{"defense.recovery-pulse-pct":0.32,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0},{"plus":3,"authoredStats":{"recovery":4},"upgradeStats":{"recovery":1},"mechanics":{"defense.recovery-pulse-pct":0.38,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0},{"plus":4,"authoredStats":{"recovery":4},"upgradeStats":{"recovery":2},"mechanics":{"defense.recovery-pulse-pct":0.4,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0},{"plus":5,"authoredStats":{"recovery":4},"upgradeStats":{"recovery":2},"mechanics":{"defense.recovery-pulse-pct":0.42000000000000004,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0}]
swamp-boots-t2	2	mobility	swamp	10		swamp-boots-t1	{"speed":32}	[{"plus":0,"authoredStats":{"speed":32},"upgradeStats":{},"mechanics":{"mobility.slow-resistance":0.45},"aps":0},{"plus":3,"authoredStats":{"speed":32},"upgradeStats":{"speed":5},"mechanics":{"mobility.slow-resistance":0.53},"aps":0},{"plus":4,"authoredStats":{"speed":32},"upgradeStats":{"speed":7},"mechanics":{"mobility.slow-resistance":0.56},"aps":0},{"plus":5,"authoredStats":{"speed":32},"upgradeStats":{"speed":9},"mechanics":{"mobility.slow-resistance":0.5800000000000001},"aps":0}]
swamp-blightbrand	3	weapon	swamp	13		swamp-mirebrand	{"attack":32}	[{"plus":0,"authoredStats":{"attack":32},"upgradeStats":{},"mechanics":{},"aps":1},{"plus":3,"authoredStats":{"attack":32},"upgradeStats":{"attack":9},"mechanics":{},"aps":1},{"plus":4,"authoredStats":{"attack":32},"upgradeStats":{"attack":12},"mechanics":{},"aps":1},{"plus":5,"authoredStats":{"attack":32},"upgradeStats":{"attack":16},"mechanics":{},"aps":1}]
swamp-vest-t3	3	armor	swamp	14		swamp-vest-t2	{"maxHp":97,"plating":13}	[{"plus":0,"authoredStats":{"maxHp":97,"plating":13},"upgradeStats":{},"mechanics":{"defense.dot-resistance":0.46,"defense.hit-to-dot-pct":0.1,"defense.debuff-resistance":0.2},"aps":0},{"plus":3,"authoredStats":{"maxHp":97,"plating":13},"upgradeStats":{"maxHp":30,"plating":3},"mechanics":{"defense.dot-resistance":0.49,"defense.hit-to-dot-pct":0.1,"defense.debuff-resistance":0.2},"aps":0},{"plus":4,"authoredStats":{"maxHp":97,"plating":13},"upgradeStats":{"maxHp":39,"plating":5},"mechanics":{"defense.dot-resistance":0.5,"defense.hit-to-dot-pct":0.1,"defense.debuff-resistance":0.2},"aps":0},{"plus":5,"authoredStats":{"maxHp":97,"plating":13},"upgradeStats":{"maxHp":49,"plating":6},"mechanics":{"defense.dot-resistance":0.52,"defense.hit-to-dot-pct":0.1,"defense.debuff-resistance":0.2},"aps":0}]
swamp-charm-t3	3	recovery	swamp	15		swamp-charm-t2	{"recovery":7}	[{"plus":0,"authoredStats":{"recovery":7},"upgradeStats":{},"mechanics":{"defense.recovery-pulse-pct":0.44,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0},{"plus":3,"authoredStats":{"recovery":7},"upgradeStats":{"recovery":1},"mechanics":{"defense.recovery-pulse-pct":0.5,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0},{"plus":4,"authoredStats":{"recovery":7},"upgradeStats":{"recovery":2},"mechanics":{"defense.recovery-pulse-pct":0.52,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0},{"plus":5,"authoredStats":{"recovery":7},"upgradeStats":{"recovery":3},"mechanics":{"defense.recovery-pulse-pct":0.54,"defense.recovery-pulse-interval-ms":8000,"defense.recovery-pulse-duration-ms":4000},"aps":0}]
swamp-boots-t3	3	mobility	swamp	16		swamp-boots-t2	{"speed":58}	[{"plus":0,"authoredStats":{"speed":58},"upgradeStats":{},"mechanics":{"mobility.slow-resistance":0.62},"aps":0},{"plus":3,"authoredStats":{"speed":58},"upgradeStats":{"speed":9},"mechanics":{"mobility.slow-resistance":0.6799999999999999},"aps":0},{"plus":4,"authoredStats":{"speed":58},"upgradeStats":{"speed":13},"mechanics":{"mobility.slow-resistance":0.7},"aps":0},{"plus":5,"authoredStats":{"speed":58},"upgradeStats":{"speed":16},"mechanics":{"mobility.slow-resistance":0.72},"aps":0}]
tundra-permafrost-maul	3	weapon	tundra	1			{"attack":120}	[{"plus":0,"authoredStats":{"attack":120},"upgradeStats":{},"mechanics":{"weapon.brittle-plating":2,"weapon.brittle-dr":0.01,"weapon.brittle-stacks":8},"aps":0.5},{"plus":3,"authoredStats":{"attack":120},"upgradeStats":{"attack":90},"mechanics":{"weapon.brittle-plating":2,"weapon.brittle-dr":0.01,"weapon.brittle-stacks":8},"aps":0.5},{"plus":4,"authoredStats":{"attack":120},"upgradeStats":{"attack":120},"mechanics":{"weapon.brittle-plating":2,"weapon.brittle-dr":0.01,"weapon.brittle-stacks":8},"aps":0.5},{"plus":5,"authoredStats":{"attack":120},"upgradeStats":{"attack":150},"mechanics":{"weapon.brittle-plating":2,"weapon.brittle-dr":0.01,"weapon.brittle-stacks":8},"aps":0.5}]
